area_of_improvement,recommdation_likeliness,communication_availability,online_platform,extracurricular_activities,library_availibility,prompt_feedback,classroom_interaction,course_clarity,student_support_services,academic_advisers,cleanliness,research_resources ,accommodation,course_curriculum,teaching_quality,student_satisfaction
Campus facilities,Likely,Average,Average,Good,Average,Yes,5,4,No,Moderately Available,Below Average,Average,Moderately satisfied,Good,Good,4
Communication and information,Likely,Excellent,Excellent,Good,Excellent,No,4,4,Yes,Moderately Available,Excellent,Excellent,Very satisfied,Excellent,Average,4
Student support services,Neutral,Average,Average,Average,Average,No,3,3,No,Moderately Available,Average,Average,Moderately satisfied,Average,Average,3
Campus facilities,Very likely,Average,Good,Good,Good,Yes,5,3,Yes,Moderately Available,Good,Good,Very satisfied,Good,Average,4
Student support services,Very unlikely,Excellent,Excellent,Poor,Below Average,No,3,3,No,Moderately Available,Good,Excellent,Not satisfied,Below Average,Average,2
Other,Likely,Good,Good,Below Average,Excellent,Yes,5,5,Yes,Very Available,Excellent,Good,Not satisfied,Average,Good,4
Student support services,Likely,Excellent,Excellent,Average,Good,Yes,4,4,No,Moderately Available,Good,Good,Slightly satisfied,Good,Good,4
Communication and information,Neutral,Good,Average,Average,Good,Yes,3,4,No,Moderately Available,Good,Good,Not satisfied,Average,Average,3
Academics,Neutral,Good,Excellent,Excellent,Excellent,Yes,3,4,No,Moderately Available,Excellent,Good,Very satisfied,Good,Good,4
Academics,Very unlikely,Average,Average,Average,Good,No,3,2,No,Slightly Available,Good,Average,Moderately satisfied,Below Average,Average,2
Academics,Very likely,Good,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Good,Excellent,Extremely satisfied,Excellent,Excellent,5
Campus facilities,Very likely,Good,Excellent,Good,Excellent,Yes,5,4,Yes,Very Available,Good,Excellent,Moderately satisfied,Good,Good,4
Academics,Neutral,Average,Average,Below Average,Average,No,2,3,No,Moderately Available,Average,Average,Moderately satisfied,Average,Average,3
Student support services,Neutral,Good,Average,Below Average,Average,No,3,4,Yes,Very Available,Good,Average,Moderately satisfied,Average,Average,2
Communication and information,Unlikely,Average,Good,Below Average,Good,Yes,1,3,Yes,Slightly Available,Average,Average,Slightly satisfied,Average,Below Average,2
Student support services,Likely,Good,Good,Good,Good,Yes,4,4,No,Moderately Available,Good,Good,Slightly satisfied,Good,Good,4
Campus facilities,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Good,Excellent,Very satisfied,Excellent,Excellent,5
Academics,Likely,Good,Excellent,Average,Excellent,Yes,3,3,No,Slightly Available,Excellent,Good,Very satisfied,Good,Good,3
Academics,Neutral,Excellent,Excellent,Excellent,Excellent,Yes,1,5,No,Moderately Available,Excellent,Excellent,Moderately satisfied,Excellent,Excellent,4
Other,Very likely,Excellent,Excellent,Good,Excellent,Yes,5,5,Yes,Very Available,Excellent,Good,Very satisfied,Excellent,Excellent,5
Communication and information,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Communication and information,Likely,Average,Good,Good,Excellent,Yes,4,4,No,Moderately Available,Excellent,Good,Extremely satisfied,Good,Excellent,5
Other,Neutral,Good,Excellent,Good,Excellent,Yes,3,4,No,Moderately Available,Good,Good,Moderately satisfied,Average,Good,4
Academics,Neutral,Good,Good,Average,Good,Yes,4,1,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,3
Student support services,Neutral,Good,Good,Good,Good,Yes,2,2,No,Slightly Available,Average,Average,Moderately satisfied,Average,Average,3
Student support services,Likely,Good,Good,Average,Excellent,Yes,4,4,Yes,Moderately Available,Good,Average,Slightly satisfied,Good,Good,3
Academics,Very unlikely,Excellent,Good,Good,Good,Yes,5,4,Yes,Very Available,Excellent,Good,Very satisfied,Good,Good,1
Academics,Unlikely,Good,Good,Average,Excellent,No,3,2,Yes,Moderately Available,Excellent,Average,Extremely satisfied,Below Average,Below Average,3
Student support services,Likely,Good,Excellent,Below Average,Excellent,Yes,2,4,Yes,Moderately Available,Average,Average,Moderately satisfied,Excellent,Good,3
Campus facilities,Unlikely,Average,Good,Average,Good,No,3,3,No,Moderately Available,Excellent,Good,Moderately satisfied,Below Average,Average,2
Academics,Likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Moderately Available,Excellent,Excellent,Very satisfied,Average,Good,4
Student support services,Likely,Excellent,Average,Below Average,Good,Yes,4,5,Yes,Moderately Available,Excellent,Excellent,Extremely satisfied,Good,Good,4
Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,1,1,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,1
Student support services,Likely,Excellent,Excellent,Excellent,Excellent,Yes,4,5,Yes,Very Available,Excellent,Excellent,Very satisfied,Excellent,Excellent,4
Campus facilities,Very likely,Excellent,Good,Excellent,Excellent,Yes,5,4,Yes,Very Available,Good,Good,Extremely satisfied,Excellent,Excellent,5
Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Student support services,Neutral,Good,Average,Below Average,Good,No,4,3,No,Moderately Available,Good,Average,Slightly satisfied,Good,Average,3
Communication and information,Likely,Good,Good,Average,Excellent,Yes,4,5,Yes,Moderately Available,Excellent,Good,Very satisfied,Good,Good,4
Student support services,Neutral,Average,Excellent,Below Average,Average,No,3,4,Yes,Very Available,Average,Average,Moderately satisfied,Good,Good,3
Communication and information,Likely,Good,Good,Excellent,Excellent,Yes,4,4,Yes,Very Available,Good,Average,Very satisfied,Good,Excellent,4
Academics,Very unlikely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Student support services,Unlikely,Poor,Below Average,Poor,Below Average,No,2,3,No,Moderately Available,Excellent,Average,Moderately satisfied,Below Average,Average,3
Academics,Neutral,Average,Good,Average,Good,Yes,5,4,No,Moderately Available,Good,Average,Moderately satisfied,Good,Good,4
Campus facilities,Likely,Good,Good,Excellent,Excellent,No,5,3,No,Moderately Available,Excellent,Excellent,Moderately satisfied,Good,Excellent,4
Student support services,Likely,Excellent,Good,Excellent,Good,Yes,5,5,Yes,Moderately Available,Good,Good,Very satisfied,Good,Excellent,5
Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,1,1,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Student support services,Neutral,Good,Good,Good,Good,Yes,3,4,No,Moderately Available,Good,Good,Moderately satisfied,Good,Good,3
Student support services,Likely,Average,Excellent,Average,Excellent,Yes,5,3,No,Moderately Available,Excellent,Excellent,Moderately satisfied,Good,Average,4
Student support services,Neutral,Below Average,Excellent,Poor,Average,Yes,2,3,No,Moderately Available,Good,Average,Moderately satisfied,Average,Average,3
Other,Neutral,Good,Good,Good,Good,Yes,4,4,Yes,Very Available,Good,Good,Very satisfied,Good,Good,4
Other,Likely,Good,Excellent,Good,Good,Yes,3,3,No,Moderately Available,Good,Good,Very satisfied,Good,Average,3
Student support services,Very likely,Excellent,Excellent,Excellent,Good,Yes,4,5,Yes,Moderately Available,Good,Excellent,Very satisfied,Good,Good,4
Academics,Unlikely,Average,Excellent,Poor,Good,No,2,3,No,Moderately Available,Excellent,Below Average,Very satisfied,Average,Average,3
Academics,Neutral,Average,Good,Average,Average,No,4,3,No,Moderately Available,Average,Average,Moderately satisfied,Good,Good,3
Academics,Very likely,Excellent,Excellent,Good,Excellent,No,4,4,No,Very Available,Excellent,Excellent,Extremely satisfied,Good,Good,4
Student support services,Neutral,Good,Average,Below Average,Average,No,3,3,No,Moderately Available,Excellent,Average,Very satisfied,Average,Good,4
Campus facilities,Unlikely,Below Average,Good,Poor,Below Average,No,2,3,No,Slightly Available,Average,Average,Slightly satisfied,Good,Good,3
Campus facilities,Likely,Good,Good,Good,Good,Yes,2,4,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,2
Academics,Neutral,Average,Good,Below Average,Below Average,No,3,3,No,Slightly Available,Good,Average,Moderately satisfied,Good,Good,3
Campus facilities,Unlikely,Good,Good,Good,Good,No,2,3,Yes,Slightly Available,Excellent,Average,Very satisfied,Good,Below Average,3
Communication and information,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Campus facilities,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Very satisfied,Excellent,Excellent,5
Academics,Likely,Average,Good,Excellent,Good,Yes,5,4,No,Very Available,Excellent,Excellent,Very satisfied,Good,Good,4
Student support services,Likely,Good,Good,Good,Good,No,3,4,No,Moderately Available,Average,Good,Moderately satisfied,Good,Good,3
Campus facilities,Likely,Good,Good,Good,Good,Yes,2,4,Yes,Very Available,Good,Good,Very satisfied,Excellent,Good,4
Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Student support services,Likely,Good,Excellent,Average,Excellent,Yes,4,5,No,Very Available,Excellent,Excellent,Moderately satisfied,Good,Good,3
Campus facilities,Very likely,Average,Good,Excellent,Average,No,5,4,No,Moderately Available,Good,Average,Moderately satisfied,Good,Good,4
Academics,Likely,Good,Good,Good,Good,Yes,4,4,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,4
Communication and information,Very likely,Good,Good,Good,Excellent,No,3,3,Yes,Moderately Available,Excellent,Good,Very satisfied,Excellent,Good,5
Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Moderately Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Student support services,Neutral,Below Average,Below Average,Poor,Below Average,No,2,3,No,Moderately Available,Good,Below Average,Moderately satisfied,Average,Good,3
Campus facilities,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,1,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Communication and information,Neutral,Below Average,Average,Below Average,Good,No,3,3,No,Not Available,Average,Below Average,Moderately satisfied,Good,Good,3
Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Communication and information,Neutral,Below Average,Excellent,Good,Good,No,3,3,No,Moderately Available,Average,Average,Moderately satisfied,Average,Average,3
Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Campus facilities,Likely,Good,Good,Good,Good,Yes,3,3,Yes,Moderately Available,Excellent,Good,Very satisfied,Good,Good,2
Academics,Very likely,Good,Excellent,Excellent,Excellent,Yes,4,4,Yes,Very Available,Excellent,Excellent,Very satisfied,Good,Good,4
Academics,Neutral,Excellent,Excellent,Good,Excellent,No,3,4,No,Moderately Available,Excellent,Good,Very satisfied,Good,Average,4
Communication and information,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Academics,Neutral,Good,Below Average,Average,Excellent,Yes,3,4,Yes,Very Available,Excellent,Good,Moderately satisfied,Good,Average,3
Campus facilities,Neutral,Good,Good,Good,Good,Yes,3,3,No,Moderately Available,Good,Average,Moderately satisfied,Good,Good,3
Campus facilities,Neutral,Good,Excellent,Excellent,Average,Yes,3,5,No,Moderately Available,Good,Excellent,Moderately satisfied,Good,Good,4
Student support services,Likely,Excellent,Good,Good,Good,Yes,4,4,Yes,Very Available,Excellent,Good,Very satisfied,Excellent,Excellent,4
Campus facilities,Very likely,Good,Good,Good,Excellent,Yes,4,4,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Good,4
Other,Likely,Good,Excellent,Excellent,Good,Yes,4,4,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,4
Campus facilities,Likely,Average,Excellent,Good,Excellent,Yes,4,4,No,Moderately Available,Excellent,Good,Extremely satisfied,Good,Average,5
Other,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Student support services,Neutral,Average,Average,Average,Average,Yes,3,3,No,Slightly Available,Average,Average,Moderately satisfied,Average,Average,3
Other,Very likely,Excellent,Excellent,Excellent,Good,Yes,5,5,No,Very Available,Excellent,Good,Extremely satisfied,Good,Good,5
Student support services,Neutral,Average,Average,Good,Good,Yes,3,3,Yes,Moderately Available,Poor,Good,Moderately satisfied,Average,Good,3
Campus facilities,Very likely,Average,Poor,Average,Excellent,Yes,3,3,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Average,Good,5
Campus facilities,Very likely,Excellent,Good,Excellent,Excellent,Yes,5,5,No,Very Available,Excellent,Good,Very satisfied,Excellent,Good,5
Communication and information,Likely,Good,Good,Good,Good,Yes,4,4,No,Very Available,Excellent,Excellent,Moderately satisfied,Good,Good,4
Campus facilities,Neutral,Excellent,Good,Average,Average,No,4,3,Yes,Moderately Available,Average,Poor,Moderately satisfied,Good,Excellent,3
Other,Likely,Good,Excellent,Good,Excellent,Yes,5,5,Yes,Moderately Available,Excellent,Excellent,Moderately satisfied,Good,Good,4
Other,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Communication and information,Likely,Good,Good,Good,Excellent,Yes,5,4,Yes,Very Available,Good,Good,Moderately satisfied,Good,Excellent,3
Communication and information,Very likely,Excellent,Good,Excellent,Excellent,Yes,4,5,Yes,Very Available,Excellent,Excellent,Very satisfied,Good,Excellent,5
Academics,Very likely,Excellent,Excellent,Good,Excellent,Yes,4,4,No,Moderately Available,Excellent,Average,Extremely satisfied,Good,Good,5
Campus facilities,Very likely,Good,Excellent,Excellent,Excellent,Yes,4,4,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Good,5
Academics,Neutral,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,3
Academics,Likely,Good,Good,Good,Excellent,Yes,4,4,Yes,Very Available,Good,Good,Very satisfied,Excellent,Good,4
Other,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Student support services,Very likely,Good,Good,Excellent,Good,Yes,4,4,No,Moderately Available,Good,Excellent,Extremely satisfied,Good,Good,4
Campus facilities,Very likely,Excellent,Excellent,Good,Good,Yes,1,1,Yes,Very Available,Excellent,Good,Extremely satisfied,Excellent,Good,2
Academics,Likely,Good,Average,Good,Good,Yes,3,3,Yes,Moderately Available,Good,Good,Slightly satisfied,Good,Good,3
Campus facilities,Likely,Good,Good,Good,Good,Yes,5,5,Yes,Very Available,Good,Good,Very satisfied,Good,Good,5
Other,Likely,Good,Average,Good,Excellent,Yes,4,3,Yes,Moderately Available,Good,Good,Moderately satisfied,Average,Good,4
Other,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Student support services,Likely,Average,Average,Good,Good,Yes,5,5,Yes,Moderately Available,Good,Excellent,Moderately satisfied,Good,Excellent,3
Student support services,Likely,Good,Good,Average,Good,Yes,4,3,Yes,Very Available,Good,Good,Very satisfied,Good,Good,3
Academics,Likely,Good,Average,Below Average,Average,Yes,5,5,No,Slightly Available,Good,Good,Moderately satisfied,Good,Excellent,3
Campus facilities,Likely,Good,Good,Good,Good,Yes,4,5,Yes,Moderately Available,Good,Good,Moderately satisfied,Excellent,Good,4
Student support services,Unlikely,Poor,Average,Poor,Below Average,Yes,1,1,No,Not Available,Below Average,Average,Not satisfied,Below Average,Below Average,1
Other,Very likely,Excellent,Average,Good,Excellent,Yes,4,4,Yes,Slightly Available,Excellent,Excellent,Not satisfied,Excellent,Good,4
Campus facilities,Very likely,Good,Good,Good,Good,Yes,2,1,Yes,Very Available,Good,Good,Extremely satisfied,Good,Good,3
Communication and information,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Other,Likely,Average,Excellent,Excellent,Excellent,No,4,5,Yes,Very Available,Average,Average,Slightly satisfied,Good,Good,3
Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Other,Neutral,Average,Average,Average,Average,No,3,3,No,Moderately Available,Average,Average,Moderately satisfied,Excellent,Excellent,3
Communication and information,Very likely,Excellent,Good,Good,Good,Yes,4,5,Yes,Very Available,Good,Good,Very satisfied,Good,Good,5
Student support services,Likely,Good,Average,Excellent,Excellent,Yes,4,4,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,4
Campus facilities,Likely,Good,Average,Good,Average,Yes,4,4,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,4
Student support services,Very likely,Good,Good,Good,Good,No,2,2,Yes,Moderately Available,Good,Good,Not satisfied,Excellent,Excellent,1
Campus facilities,Likely,Excellent,Excellent,Excellent,Average,No,4,4,Yes,Slightly Available,Excellent,Excellent,Very satisfied,Good,Good,3
Academics,Likely,Average,Good,Poor,Average,Yes,2,3,No,Slightly Available,Good,Average,Extremely satisfied,Good,Good,3
Campus facilities,Likely,Excellent,Excellent,Good,Excellent,Yes,4,4,Yes,Moderately Available,Good,Good,Moderately satisfied,Good,Good,4
Communication and information,Neutral,Below Average,Good,Good,Excellent,No,4,5,No,Slightly Available,Excellent,Good,Very satisfied,Average,Average,3
Other,Likely,Excellent,Excellent,Excellent,Excellent,Yes,4,4,Yes,Very Available,Excellent,Good,Moderately satisfied,Good,Excellent,4
Campus facilities,Likely,Good,Good,Excellent,Good,Yes,4,4,Yes,Moderately Available,Excellent,Good,Extremely satisfied,Good,Excellent,4
Academics,Very likely,Good,Good,Good,Good,Yes,2,5,Yes,Very Available,Good,Good,Very satisfied,Good,Good,4
Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Campus facilities,Likely,Good,Excellent,Good,Excellent,Yes,3,3,Yes,Moderately Available,Excellent,Good,Moderately satisfied,Good,Good,3
Student support services,Likely,Good,Good,Excellent,Excellent,Yes,4,4,Yes,Very Available,Excellent,Good,Very satisfied,Good,Good,4
Student support services,Likely,Below Average,Excellent,Average,Excellent,Yes,3,4,Yes,Very Available,Excellent,Good,Moderately satisfied,Good,Good,4
Other,Very likely,Good,Average,Excellent,Excellent,Yes,4,3,Yes,Very Available,Excellent,Good,Very satisfied,Excellent,Good,5
Other,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Good,Excellent,5
Student support services,Very likely,Excellent,Good,Excellent,Excellent,Yes,5,4,Yes,Very Available,Excellent,Good,Very satisfied,Excellent,Good,5
Student support services,Likely,Good,Good,Excellent,Excellent,No,5,5,No,Moderately Available,Excellent,Excellent,Moderately satisfied,Good,Good,5
Student support services,Very likely,Good,Excellent,Average,Average,Yes,4,4,No,Moderately Available,Excellent,Average,Extremely satisfied,Good,Excellent,4
